iter	Poisson
0	0.9935259881
1	0.9872863476
2	0.9814206101
3	0.9757860262
4	0.9703392215
5	0.9653393449
6	0.9604799762
7	0.9558047945
8	0.9514344745
9	0.947257437
10	0.9433211922
11	0.9395166809
12	0.9359694632
13	0.9325471179
14	0.9292677344
15	0.9261809673
16	0.9231635213
17	0.9204079413
18	0.9178119688
19	0.915328999
20	0.9129439214
21	0.9106204047
22	0.9084248714
23	0.9062939681
24	0.9043220066
25	0.9024238939
26	0.9006201761
27	0.898956002
28	0.8972616334
29	0.8957176755
30	0.8942163132
31	0.8927770589
32	0.8914228999
33	0.8900959995
34	0.888875885
35	0.8877177576
36	0.8866792478
37	0.8856254956
38	0.8846009263
39	0.8836200397
40	0.882666148
41	0.8817627309
42	0.8808774739
43	0.880076335
44	0.8792486775
45	0.8785364217
46	0.8777648496
47	0.8770208526
48	0.8763945467
49	0.8757326175
50	0.8751086231
51	0.8745106606
52	0.8739104671
53	0.8733452483
54	0.872816546
55	0.8722914021
56	0.8718367347
57	0.8713768021
58	0.8709511966
59	0.8705362835
60	0.8701647185
61	0.8697622496
62	0.869400394
63	0.8689609906
64	0.8686675175
65	0.8683475263
66	0.8680421571
67	0.8677020132
68	0.8674479559
69	0.8671503542
70	0.8668542205
71	0.8665352596
72	0.8662957923
73	0.8660581218
74	0.8658634888
75	0.8656464282
76	0.8654544376
77	0.8652711937
78	0.8650645755
79	0.864828655
80	0.8646176576
81	0.8644290639
82	0.8642164096
83	0.864014085
84	0.863814668
85	0.8636576723
86	0.8635180511
87	0.8633432212
88	0.8631453069
89	0.8629720389
90	0.8628174523
91	0.8626556721
92	0.862505246
93	0.8623367615
94	0.8622082352
95	0.8620362406
96	0.8619103039
97	0.8617584029
98	0.86159487
99	0.8614649812
100	0.8613633726
101	0.86118852
102	0.8610784806
103	0.8609714362
104	0.8608255812
105	0.860726097
106	0.8605863762
107	0.8605032858
108	0.8604028353
109	0.8603273654
110	0.8602093246
111	0.8601064967
112	0.8600080808
113	0.8599417889
114	0.8598460229
115	0.8597374164
116	0.8596677396
117	0.8595836013
118	0.8595126622
119	0.8594389963
120	0.859354259
121	0.8592715354
122	0.8592103359
123	0.8591482842
124	0.8590449344
125	0.8589412916
126	0.8588470953
127	0.8587850514
128	0.8587366451
129	0.8586666613
130	0.8585985963
131	0.8585370576
132	0.8584699725
133	0.8584190636
134	0.858328547
135	0.8582398084
136	0.8581809828
137	0.8581196965
138	0.8580670302
139	0.857989662
140	0.8579219768
141	0.8578897602
142	0.857832759
143	0.857771974
144	0.8577162284
145	0.8576767595
146	0.8576350043
147	0.8575663459
148	0.8574872126
149	0.8574479238
150	0.8574007771
151	0.8573611484
152	0.8572958713
153	0.8572299385
154	0.8571701985
155	0.8571296646
156	0.8570688015
157	0.8570010218
158	0.8569575864
159	0.8568951069
160	0.856827558
161	0.8567796569
162	0.8567454989
163	0.8567074047
164	0.8566456132
165	0.8566086866
166	0.856578198
167	0.8565354907
168	0.8565070784
169	0.8564864165
170	0.8564606737
171	0.856408529
172	0.85637375
173	0.8563415647
174	0.8563064038
175	0.856250098
176	0.8562154356
177	0.8561698356
178	0.8561470287
179	0.8561094933
180	0.8560700911
181	0.856042032
182	0.855971814
183	0.8559367635
184	0.855895706
185	0.8558432779
186	0.8558135068
187	0.8557837312
188	0.8557514486
189	0.8557076097
190	0.8556644664
191	0.8556188383
192	0.8555890479
193	0.8555587367
194	0.8555390817
195	0.8554910627
196	0.8554258087
197	0.8554057908
198	0.8553662705
199	0.8553383206
200	0.8552866301
201	0.8552537482
202	0.8552199956
203	0.8551949763
204	0.8551770589
205	0.8551602512
206	0.8551429972
207	0.8551104967
208	0.8550866822
209	0.8550591537
210	0.8550216032
211	0.8549855731
212	0.8549410419
213	0.8549193632
214	0.8549080442
215	0.8548679688
216	0.8548404948
217	0.8548188972
218	0.8548061232
219	0.8547880433
220	0.8547519081
221	0.8547101616
222	0.8546711392
223	0.8546561591
224	0.8546393308
225	0.8546211877
226	0.8545863522
227	0.8545417288
228	0.8545076764
229	0.8544821176
230	0.8544474296
231	0.8544071955
232	0.8543795877
233	0.8543595147
234	0.8543461228
235	0.8543217618
236	0.8543138327
237	0.8542868384
238	0.8542426831
239	0.8542190387
240	0.8541944564
241	0.8541778812
242	0.8541543158
243	0.8541227441
244	0.8541081904
245	0.8540981033
246	0.8540649974
247	0.8540483164
248	0.8540197046
249	0.8539982871
250	0.8539796807
251	0.8539691015
252	0.8539560729
253	0.8539348639
254	0.8539013221
255	0.8538848682
256	0.8538672326
257	0.8538569612
258	0.8538440905
259	0.8538342965
260	0.8538155739
261	0.853803809
262	0.8537854885
263	0.8537631119
264	0.8537235302
265	0.8537122625
266	0.8536950512
267	0.8536664792
268	0.8536488837
269	0.8536179919
270	0.8535926054
271	0.853562933
272	0.8535293715
273	0.853513663
274	0.8534833556
275	0.8534593321
276	0.8534379085
277	0.8534061674
278	0.8533850413
279	0.8533668903
280	0.8533550008
281	0.8533441005
282	0.8533184916
283	0.8532989495
284	0.8532838203
285	0.8532643628
286	0.8532422909
287	0.8532071108
288	0.8531786802
289	0.8531591877
290	0.8531433024
291	0.8531316201
292	0.853117167
293	0.8530797725
294	0.8530613766
295	0.8530302457
296	0.8530126979
297	0.8530098077
298	0.8529973433
299	0.8529820867
300	0.8529602999
301	0.8529541093
302	0.8529224103
303	0.852910135
304	0.8528815906
305	0.852867559
306	0.8528422558
307	0.852812624
308	0.8527917091
309	0.8527764679
310	0.8527650497
311	0.8527451355
312	0.8527170369
313	0.8526924858
314	0.8526795906
315	0.8526660836
316	0.8526465561
317	0.8526218711
318	0.8525994812
319	0.8525826488
320	0.8525684719
321	0.8525586602
322	0.8525490949
323	0.852529003
324	0.8525096485
325	0.8524892228
326	0.8524783448
327	0.8524669134
328	0.8524489583
329	0.8524400452
330	0.8524303319
331	0.852420399
332	0.8523980289
333	0.852385958
334	0.8523689053
335	0.8523553225
336	0.8523477175
337	0.8523259304
338	0.8523012422
339	0.852294594
340	0.8522834509
341	0.8522793015
342	0.8522637523
343	0.8522571817
344	0.8522462684
345	0.8522281303
346	0.8522189098
347	0.8522072671
348	0.8521956115
349	0.8521661822
350	0.8521478883
351	0.8521172396
352	0.8521038699
353	0.8520687234
354	0.8520566305
355	0.8520431414
356	0.852035271
357	0.8520251924
