elo_home,elo_away,elo_diff,home_form_pts,home_goal_diff_5,home_clean_sheet_rate,home_btts_rate,home_over25_rate,away_form_pts,away_goal_diff_5,away_clean_sheet_rate,away_btts_rate,away_over25_rate,home_rest_days,away_rest_days,home_matches_last_30d,away_matches_last_30d,home_avg_cards_5,away_avg_cards_5,home_avg_corners_5,away_avg_corners_5,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,odds_home,odds_draw,odds_away,implied_prob_home,implied_prob_draw,implied_prob_away,fixture_id,date,goals_home,goals_away,league_id
1456.5432468129961,1471.0073767908284,-14.464129977832272,0.2,-8,0.0,0.2,0.4,0.0,-6,0.0,0.0,0.3333333333333333,36.0,34.0,0,0,0.0,0.0,,,0,0,0,,,,,,,,140653,2025-11-17,1,2,60
1528.0286763110348,1499.2591714942023,28.769504816832523,0.6,-3,0.2,0.6,0.4,1.4,3,0.4,0.2,0.4,4.0,5.0,7,7,0.0,0.0,,,0,1,1,2.5,,,,,,,370540,2025-11-17,1,0,1268
1612.838389314273,1517.2162083672426,95.6221809470303,2.2,4,0.2,0.8,0.8,1.2,0,0.0,1.0,0.6,4.0,5.0,7,7,0.0,0.0,,,0,0,0,,,,,,,,370541,2025-11-17,2,3,1268
1543.851424912344,1566.8425593598022,-22.99113444745808,1.8,1,0.6,0.2,0.4,1.8,4,0.6,0.4,0.2,3.0,4.0,1,1,0.0,0.0,,,0,1,0,4.0,,,,,,,140654,2025-11-17,1,1,60
1535.1918481160697,1504.7564842976208,30.435363818448877,2.0,4,0.6,0.4,0.6,0.8,-1,0.4,0.4,0.0,3.0,3.0,1,1,0.0,0.0,,,2,1,2,1.6,,,,,,,140655,2025-11-17,4,0,60
1458.1829293272663,1470.8232246352582,-12.640295307991892,0.8,-2,0.2,0.6,0.8,0.4,-6,0.0,0.8,0.6,34.0,4.0,0,1,0.0,0.0,,,0,0,0,,,,,,,,140656,2025-11-17,1,2,60
1553.0150158893928,1575.9672315438404,-22.952215654447627,1.0,0,0.0,0.8,0.6,2.2,4,0.4,0.6,0.4,7.0,9.0,4,4,0.0,0.0,,,2,0,0,3.5,,,,,,,323646,2025-11-17,0,2,1216
1464.782299450602,1451.7129856419624,13.069313808639663,0.8,-3,0.0,0.6,0.6,0.8,-6,0.4,0.0,0.2,3.0,4.0,1,1,0.0,0.0,,,0,0,0,,,,,,,,140657,2025-11-17,4,0,60
1506.3821239037852,1504.4718673855282,1.9102565182570288,1.2,-1,0.4,0.2,0.2,2.0,1,0.5,0.5,0.5,4.0,605.0,1,0,0.0,0.0,,,0,0,0,,,,,,,,140658,2025-11-17,2,0,60
1519.06891744809,1500.980162438188,18.088755009901888,1.8,1,0.2,0.6,0.8,2.0,7,0.0,1.0,1.0,4.0,4.0,1,1,0.0,0.0,,,0,0,0,,,,,,,,140659,2025-11-17,2,2,60
